36.358,36.620
55.048,55.336
55.948,56.300
56.830,57.048
57.596,57.916
58.496,58.780
59.384,59.612
0.200,0.460
0.958,1.277
1.804,2.060
2.580,2.792
3.458,3.692
4.232,4.525
5.032,5.288
5.908,6.140
6.708,7.020
7.508,7.772
8.232,8.519
8.996,9.288
9.728,10.068
10.632,10.952
11.496,11.784
12.296,12.548
12.938,13.280
13.758,14.015
14.584,14.764
15.138,15.432
15.950,16.212
16.658,16.944
17.404,17.696
18.104,18.428
23.596,23.771
24.358,24.588
25.058,25.304
25.706,26.037
26.506,26.784
27.306,27.536
28.058,28.284
28.700,29.048
29.580,29.832
30.338,30.616
31.038,31.316
31.732,32.048
33.428,33.796
34.300,34.680
35.136,35.428
35.804,36.144
36.536,36.908
37.384,37.624
38.036,38.292
38.808,39.107
12.900,13.159
22.180,22.414
22.786,23.115
23.580,23.831
25.980,26.263
27.036,27.292
27.768,28.060
28.763,29.024
31.232,31.488
31.960,32.221
32.636,32.920
33.236,33.655
34.132,34.351
34.768,35.068
35.320,35.720
35.968,36.400
36.820,37.051
37.472,37.748
38.230,38.484
38.968,39.196
39.570,39.880
40.178,40.532
40.906,41.195
41.606,41.877
54.332,54.716
55.060,55.384
55.769,56.047
56.420,56.696
57.060,57.327
57.620,57.928
58.230,58.528
58.968,59.196
59.520,59.789
0.020,0.376
0.720,0.960
1.790,2.223
2.700,3.007
3.296,3.672
4.048,4.340
4.648,4.956
5.248,5.573
5.996,6.288
6.758,7.128
7.504,7.835
29.996,30.415
31.096,31.412
31.704,32.043
32.304,32.696
33.058,33.313
33.558,33.928
34.138,34.476
34.654,34.960
36.628,36.940
37.332,37.624
37.980,38.191
38.580,38.756
39.032,39.304
39.496,39.872
40.196,40.456
40.796,41.036
41.338,41.684
42.156,42.403
42.636,43.036
43.336,43.616
43.938,44.317
44.780,45.051
45.360,45.732
46.236,46.496
46.936,47.248
58.536,58.795
59.106,59.408
59.706,60.007
0.268,0.559
0.868,1.108
1.406,1.641
1.896,2.208
2.596,2.771
3.068,3.340
4.020,4.304
3.506,3.839
4.368,4.799
5.520,5.868
6.200,6.535
6.820,7.124
7.420,7.719
7.958,8.316
8.653,8.915
9.096,9.532
9.701,10.115
10.336,10.732
11.036,11.279
11.660,11.931
2.260,2.516
25.036,25.260
25.800,26.104
26.632,26.908
27.338,27.588
28.030,28.271
28.730,28.940
29.338,29.620
30.036,30.272
30.638,30.869
31.258,31.484
31.936,32.152
32.568,32.819
33.184,33.400
33.836,34.031
43.838,44.056
44.468,44.708
45.168,45.420
45.828,46.052
46.468,46.684
47.068,47.288
47.736,47.952
