"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:33:40.606","22.588959","113.972886","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:41.397","22.588952","113.972866","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:41.746","22.588952","113.972866","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:42.851","22.588952","113.972866","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:43.408","22.588951","113.972845","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:43.432","22.588951","113.972845","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:43.976","22.588951","113.972845","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-99","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:44.291","22.588951","113.972845","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:44.304","22.588951","113.972845","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:45.097","22.588951","113.972845","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:45.384","22.588961","113.972807","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:46.248","22.588961","113.972807","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:46.439","22.588961","113.972807","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:47.162","22.588961","113.972807","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-101","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:47.173","22.588961","113.972807","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:47.350","22.588961","113.972807","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:47.415","22.588947","113.97277","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:48.453","22.588947","113.97277","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:49.395","22.588933","113.972748","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:49.536","22.588933","113.972748","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:49.538","22.588933","113.972748","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:50.640","22.588933","113.972748","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:51.437","22.58887","113.972716","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:51.764","22.58887","113.972716","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:52.577","22.58887","113.972716","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
"20210917 10:33:52.913","22.58887","113.972716","LTE","","","","","","","","","","","9771","283","224778575","38950","","-71","-101","-9","7.0","","","","","","","","","","","","","","","",""
